asset_id,cse_id,asset_type,criticality,business_function,environment,monitoring_status
AST-CSE-001-001,CSE-001,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-001-002,CSE-001,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-001-003,CSE-001,Domain Controller (AD),CRITICAL,Identity and Access Management,Production,ACTIVE
AST-CSE-001-004,CSE-001,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-005,CSE-001,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-006,CSE-001,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-001-007,CSE-001,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-001-008,CSE-001,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-001-009,CSE-001,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-010,CSE-001,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-001-011,CSE-001,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-001-012,CSE-001,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-001-013,CSE-001,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-001-014,CSE-001,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-001-015,CSE-001,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-001-016,CSE-001,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-001-017,CSE-001,Relational Database Server,CRITICAL,Transactional Database,Production,ACTIVE
AST-CSE-001-018,CSE-001,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-001-019,CSE-001,Domain Controller (AD),CRITICAL,Identity and Access Management,Production,ACTIVE
AST-CSE-001-020,CSE-001,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-001-021,CSE-001,Web Application Server,CRITICAL,Customer Portal,Production,ACTIVE
AST-CSE-001-022,CSE-001,Relational Database Server,CRITICAL,Transactional Database,Production,ACTIVE
